# Oyatie pre-wipe tracked-dirty snapshot manifest
# created_utc	2026-08-03T12:15:15.126440Z
# tracked changes are preserved as git-stash-create commit trees; worktrees were not modified
# untracked contents are NOT uploaded blindly; paths are inventoried below
# record_type	worktree	branch_or_untracked_path	head	snapshot_commit	tracked_entries	untracked_entries
untracked-path	/Users/jasonlee/Developer/oyatie	cloud/cloud-ci/gates/oya-cloud-ci-zero-static-secrets-app/BUCK				
untracked-path	/Users/jasonlee/Developer/oyatie	cloud/cloud-ci/gates/oya-cloud-ci-zero-static-secrets-app/Cargo.toml				
untracked-path	/Users/jasonlee/Developer/oyatie	cloud/cloud-ci/gates/oya-cloud-ci-zero-static-secrets-app/OWNERS				
untracked-path	/Users/jasonlee/Developer/oyatie	cloud/cloud-ci/gates/oya-cloud-ci-zero-static-secrets-app/src/lib.rs				
untracked-path	/Users/jasonlee/Developer/oyatie	cloud/cloud-ci/gates/oya-cloud-ci-zero-static-secrets-app/tests/zero_static_secrets.rs				
untracked-path	/Users/jasonlee/Developer/oyatie	cloud/cloud-ci/gates/oya-cloud-ci-zero-static-secrets-app/zero-static-secrets-policy.json				
untracked-path	/Users/jasonlee/Developer/oyatie	cloud/cloud-iac/IPs/IP-sustainability-emission-model.md				
untracked-path	/Users/jasonlee/Developer/oyatie	cloud/cloud-iac/cell-topology/cell-001-contract-snapshot.json				
untracked-path	/Users/jasonlee/Developer/oyatie	cloud/cloud-intelligence/IPs/IP-sustainability-emission-model.md				
untracked-path	/Users/jasonlee/Developer/oyatie	cloud/cloud-intelligence/contracts/env-tier-gateway-budget-contract.json				
untracked-path	/Users/jasonlee/Developer/oyatie	cloud/cloud-network/crates/oya-cloud-network-domain/tests/cloud_network_resource_contract.rs				
untracked-path	/Users/jasonlee/Developer/oyatie	cloud/cloud-os/crates/oya-cloud-os-trustd-domain/src/persistence.rs				
untracked-path	/Users/jasonlee/Developer/oyatie	cloud/cloud-secrets/contracts/cloud-secrets-resource-contract.json				
untracked-path	/Users/jasonlee/Developer/oyatie	cloud/cloud-secrets/contracts/cloud-secrets-resource-contract.md				
untracked-path	/Users/jasonlee/Developer/oyatie	cloud/cloud-secrets/contracts/secretprovider-rotation-contract.md				
untracked-path	/Users/jasonlee/Developer/oyatie	cloud/cloud-secrets/crates/oya-secrets-domain/tests/cloud_secrets_resource_contract.rs				
untracked-path	/Users/jasonlee/Developer/oyatie	cloud/cloud-secrets/runbooks/non-prod-secretprovider-rotation-drill.md				
untracked-path	/Users/jasonlee/Developer/oyatie	cloud/managed-k8s-cluster-lifecycle/IPs/IP-sustainability-emission-model.md				
untracked-path	/Users/jasonlee/Developer/oyatie	cloud/managed-k8s-control-plane-host/IPs/IP-sustainability-emission-model.md				
untracked-path	/Users/jasonlee/Developer/oyatie	cloud/managed-k8s-sla-observability/IPs/IP-sustainability-emission-model.md				
untracked-path	/Users/jasonlee/Developer/oyatie	cloud/managed-k8s-sla-observability/runbooks/runbooks/sla-observation-store-unavailable.md				
untracked-path	/Users/jasonlee/Developer/oyatie	cloud/managed-k8s-tenant-quota/IPs/IP-sustainability-emission-model.md				
untracked-path	/Users/jasonlee/Developer/oyatie	cloud/managed-k8s-tenant-quota/crates/oya-managed-k8s-tenant-quota-adapter-postgres/BUCK				
untracked-path	/Users/jasonlee/Developer/oyatie	cloud/managed-k8s-tenant-quota/crates/oya-managed-k8s-tenant-quota-adapter-postgres/Cargo.toml				
untracked-path	/Users/jasonlee/Developer/oyatie	cloud/managed-k8s-tenant-quota/crates/oya-managed-k8s-tenant-quota-adapter-postgres/src/lib.rs				
untracked-path	/Users/jasonlee/Developer/oyatie	cloud/managed-k8s-tenant-quota/crates/oya-managed-k8s-tenant-quota-adapter-postgres/tests/rls_guard.rs				
untracked-path	/Users/jasonlee/Developer/oyatie	cloud/tenancy/IPs/IP-sustainability-emission-model.fixture.json				
untracked-path	/Users/jasonlee/Developer/oyatie	controlplane.yaml				
untracked-path	/Users/jasonlee/Developer/oyatie	docs/audits/trust-center-security-privacy-docs-review-packet-2026-07-01.md				
untracked-path	/Users/jasonlee/Developer/oyatie	docs/ideas/ecosystem-as-code.md				
untracked-path	/Users/jasonlee/Developer/oyatie	docs/ideas/policy-pack-substrate.md				
untracked-path	/Users/jasonlee/Developer/oyatie	docs/ideas/retire-the-cache-tarball.md				
untracked-path	/Users/jasonlee/Developer/oyatie	docs/ideas/scan-once-assert-many.md				
untracked-path	/Users/jasonlee/Developer/oyatie	docs/runbooks/cloud/root-of-trust-ceremony.md				
untracked-path	/Users/jasonlee/Developer/oyatie	docs/standards/autonomous-kanban-lifecycle.md				
untracked-path	/Users/jasonlee/Developer/oyatie	evidence/audits/audit-002-retrieval-assumptions-contract-snapshot-2026-07-01.md				
untracked-path	/Users/jasonlee/Developer/oyatie	evidence/audits/ci-011-shell-cli-retirement-inventory-2026-06-30.json				
untracked-path	/Users/jasonlee/Developer/oyatie	evidence/audits/ci-011-shell-cli-retirement-inventory-2026-06-30.md				
untracked-path	/Users/jasonlee/Developer/oyatie	evidence/cell-topology/cell-001-contract-snapshot-20260701.md				
untracked-path	/Users/jasonlee/Developer/oyatie	evidence/cloud/quality-kits/qk-01-overload-fairness/artifacts/qk01-t_5758c29f-cascading_failure_check.json				
untracked-path	/Users/jasonlee/Developer/oyatie	evidence/cloud/quality-kits/qk-01-overload-fairness/artifacts/qk01-t_5758c29f-fairness_index.json				
untracked-path	/Users/jasonlee/Developer/oyatie	evidence/cloud/quality-kits/qk-01-overload-fairness/artifacts/qk01-t_5758c29f-shed_rate_curve.json				
untracked-path	/Users/jasonlee/Developer/oyatie	evidence/cloud/quality-kits/qk-01-overload-fairness/runs/qk01-t_5758c29f.json				
untracked-path	/Users/jasonlee/Developer/oyatie	evidence/cloud/quality-kits/qk-03-privacy-data-governance/plan-spec-red.md				
untracked-path	/Users/jasonlee/Developer/oyatie	evidence/cloud/quality-kits/qk-05-focus-cost-export/plan-spec-red.md				
untracked-path	/Users/jasonlee/Developer/oyatie	evidence/cloud/quality-kits/qk-06-k8s-pod-security/plan-spec-red.md				
untracked-path	/Users/jasonlee/Developer/oyatie	evidence/conformance/conf-001-release-candidate-conformance-20260702.json				
untracked-path	/Users/jasonlee/Developer/oyatie	evidence/conformance/conf-001-release-candidate-conformance-20260702.md				
untracked-path	/Users/jasonlee/Developer/oyatie	evidence/contract-snapshots/api-001-fixture-contract-snapshot-20260701.json				
untracked-path	/Users/jasonlee/Developer/oyatie	evidence/contract-snapshots/api-001-fixture-contract-snapshot-20260701.md				
untracked-path	/Users/jasonlee/Developer/oyatie	evidence/contract-snapshots/edge-001-edge-policy-envelope-route-contract-20260701.md				
untracked-path	/Users/jasonlee/Developer/oyatie	evidence/contract-snapshots/mail-non-http-protocol-edge-authority-and-gate-plan-20260701.md				
untracked-path	/Users/jasonlee/Developer/oyatie	evidence/contract-snapshots/network-001-gateway-mesh-boundary-route-contract-20260701.md				
untracked-path	/Users/jasonlee/Developer/oyatie	evidence/contract-snapshots/network-followup-mail-non-http-loadbalancer-ingress-classification-20260701.md				
untracked-path	/Users/jasonlee/Developer/oyatie	evidence/contract-snapshots/tls-001-http3-tls-ech-pqc-posture-20260701.md				
untracked-path	/Users/jasonlee/Developer/oyatie	evidence/devportal/devportal-001a-approved-template-provisioning-evidence-20260701.json				
untracked-path	/Users/jasonlee/Developer/oyatie	evidence/devportal/devportal-001a-approved-template-provisioning-evidence-20260701.md				
untracked-path	/Users/jasonlee/Developer/oyatie	evidence/multispectrum/arch-own-ratchet-001-20260701-1782886584.json				
untracked-path	/Users/jasonlee/Developer/oyatie	evidence/multispectrum/founder-call-own-ops-001-20260702-1782954777.json				
untracked-path	/Users/jasonlee/Developer/oyatie	evidence/multispectrum/regsec-001-vulnerability-intelligence-sbom-vex-20260701.json				
untracked-path	/Users/jasonlee/Developer/oyatie	evidence/multispectrum/regvuln-002-vulnerability-contract-integration-decision-20260701.json				
untracked-path	/Users/jasonlee/Developer/oyatie	evidence/multispectrum/t_3acb7585-qk05-review-fix-1782943388.json				
untracked-path	/Users/jasonlee/Developer/oyatie	evidence/multispectrum/t_5f5d9a01-shell-004-audit-evidence-timeline-1783612741.json				
untracked-path	/Users/jasonlee/Developer/oyatie	evidence/multispectrum/t_f60cb75d-finops-high-risk-emission-models-1782944098.json				
untracked-path	/Users/jasonlee/Developer/oyatie	evidence/multispectrum/t_ff6ecba7-manifest-index-inventory-recon-1782912252.json				
untracked-path	/Users/jasonlee/Developer/oyatie	evidence/multispectrum/w4-003-virtual-materialization-20260701.json				
untracked-path	/Users/jasonlee/Developer/oyatie	evidence/observability/obs-002-traceparent-otlp-contract-snapshot-20260701.md				
untracked-path	/Users/jasonlee/Developer/oyatie	evidence/regulatory/regulatory-hermes-decomposition-preservation-20260701.json				
untracked-path	/Users/jasonlee/Developer/oyatie	evidence/toolchain-isolation/t_26046c55-t-isolation-0-fanin-evidence.json				
untracked-path	/Users/jasonlee/Developer/oyatie	evidence/toolchain-isolation/t_26046c55-t-isolation-0-fanin-evidence.md				
untracked-path	/Users/jasonlee/Developer/oyatie	evidence/toolchain-isolation/t_688c8b9b-identity-secret-audit-fixture-harness-evidence.json				
untracked-path	/Users/jasonlee/Developer/oyatie	evidence/toolchain-isolation/t_7d6670d5-scm-fixture-harness-evidence.json				
untracked-path	/Users/jasonlee/Developer/oyatie	evidence/toolchain-isolation/t_feff66eb-cd-fixture-harness-evidence.json				
untracked-path	/Users/jasonlee/Developer/oyatie	infra/capi/.gitignore				
untracked-path	/Users/jasonlee/Developer/oyatie	infra/capi/fleet-preflight.sh				
untracked-path	/Users/jasonlee/Developer/oyatie	libs/oya-ci-config/fixtures/neutral-adopter-oya-ci.toml				
untracked-path	/Users/jasonlee/Developer/oyatie	libs/oya-ci-gate-contract/BUCK				
untracked-path	/Users/jasonlee/Developer/oyatie	libs/oya-data-boundary-kernel/fixtures/retention_qk03_dsr_evidence_contract.txt				
untracked-path	/Users/jasonlee/Developer/oyatie	libs/oya-data-sql-adapter-sqlx/src/envelope.rs				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/api-gateway/iac/k8s/helm/templates/mail-protocol-routes.yaml				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/application/IPs/IP-sustainability-emission-model.md				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/audit-chain/IPs/IP-sustainability-emission-model.fixture.json				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/calendar/IPs/IP-sustainability-emission-model.md				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/community/IPs/IP-sustainability-emission-model.md				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/community/crates/oya-community-anonymous/BUCK				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/community/crates/oya-community-anonymous/Cargo.toml				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/community/crates/oya-community-anonymous/src/lib.rs				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/connector/crates/oya-connector-slack-adapter/tests/env_tier_outbound_metadata.rs				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/developer-sdk/crates/oya-dev-cli/src/terminal_verifier_harness.rs				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/docs/IPs/IP-sustainability-emission-model.md				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/drive/IPs/IP-sustainability-emission-model.md				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/finops-portal/contracts/env-tier-outbound-emission-plan.contract.json				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/finops-portal/contracts/fixtures/env-tier-outbound-emission-plan/red-fixtures.json				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/forms/IPs/IP-sustainability-emission-model.md				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/governance/IPs/IP-sustainability-emission-model.fixture.json				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/hr/crates/oya-hr-employment-domain/tests/statutory_filing_manifest.rs				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/hr/crates/oya-hr-employment-storage-adapter-postgres/BUCK				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/hr/crates/oya-hr-employment-storage-adapter-postgres/Cargo.toml				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/hr/crates/oya-hr-employment-storage-adapter-postgres/src/lib.rs				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/hr/crates/oya-hr-employment-storage-adapter-postgres/tests/storage.rs				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/identity/IPs/IP-sustainability-emission-model.fixture.json				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/intelligence/IPs/IP-sustainability-emission-model.fixture.json				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/intelligence/contracts/env-tier-model-budget-contract.json				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/intelligence/contracts/fixtures/env-tier-model-budget/red-fixtures.json				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/mail/IPs/IP-sustainability-emission-model.md				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/mail/iac/helm/templates/_helpers.tpl				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/mail/iac/helm/templates/ciliumnetworkpolicy-mail-edge.yaml				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/meet/IPs/IP-sustainability-emission-model.md				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/messenger/IPs/IP-sustainability-emission-model.fixture.json				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/notes/IPs/IP-sustainability-emission-model.md				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/observability/IPs/IP-sustainability-emission-model.md				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/ontology/IPs/IP-sustainability-emission-model.fixture.json				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/ops-dashboard-control-center/IPs/IP-sustainability-emission-model.md				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/payments/crates/oya-payments-charge-domain/tests/env_tier_outbound_metadata.rs				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/payroll/crates/oya-payroll-run-api/tests/hr_payroll_boundary.rs				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/payroll/crates/oya-payroll-run-api/tests/statutory_preview.rs				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/payroll/crates/oya-payroll-run-domain/tests/statutory_calculation.rs				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/payroll/crates/oya-payroll-run-domain/tests/statutory_source_pack.rs				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/payroll/crates/oya-payroll-run-domain/tests/year_end_settlement.rs				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/payroll/crates/oya-payroll-run-infrastructure/tests/local_close_replay.rs				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/payroll/crates/oya-payroll-run-infrastructure/tests/statutory_replay.rs				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/payroll/crates/oya-payroll-run-storage-adapter-postgres/BUCK				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/payroll/crates/oya-payroll-run-storage-adapter-postgres/Cargo.toml				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/payroll/crates/oya-payroll-run-storage-adapter-postgres/src/lib.rs				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/payroll/crates/oya-payroll-run-storage-adapter-postgres/tests/storage.rs				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/policy/crates/oya-policy-cedar-domain/src/rebac.rs				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/policy/crates/oya-policy-cedar-domain/tests/rebac_tuple_port.rs				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/quality-management/crates/oya-quality-management-inspection-app/src/adapter/cedar.rs				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/quality-management/crates/oya-quality-management-inspection-app/src/adapter/repository.rs				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/recordings/IPs/IP-sustainability-emission-model.md				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/sheets/IPs/IP-sustainability-emission-model.md				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/sites/IPs/IP-sustainability-emission-model.md				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/slides/IPs/IP-sustainability-emission-model.md				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/social/IPs/IP-sustainability-emission-model.md				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/social/crates/oya-social-domain/Cargo.toml				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/social/crates/oya-social-domain/src/lib.rs				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/social/crates/oya-social-domain/tests/social_workplace_slice.rs				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/supply-chain-planning/iac/PROVENANCE-INVENTORY.md				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/tasks/IPs/IP-sustainability-emission-model.md				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/translate/IPs/IP-sustainability-emission-model.md				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/treasury/crates/oya-treasury-cash-domain/tests/env_tier_outbound_metadata.rs				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/trust/crates/oya-trust-center-api/Cargo.toml				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/trust/crates/oya-trust-center-api/src/lib.rs				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/trust/crates/oya-trust-center-api/tests/trust_center_api.rs				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/trust/crates/oya-trust-center-ingest/Cargo.toml				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/trust/crates/oya-trust-center-ingest/src/lib.rs				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/trust/crates/oya-trust-center-ingest/tests/trust_center_ingest.rs				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/workflow-engine/IPs/IP-sustainability-emission-model.fixture.json				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/workflow-engine/contracts/env-tier-run-handoff-contract.yaml				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/workflow-engine/crates/oya-workflow-engine-execution-engine-usecase/tests/hr_labor_compliance_intake.rs				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/workflow-engine/policy/env-tier-run-start.cedar				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/workflow-studio/IPs/IP-sustainability-emission-model.md				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/workflow-studio/contracts/env-tier-promotion-contract.yaml				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/workflow-studio/policy/env-tier-promotion.cedar				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/workplace-integration/contracts/env-tier-outbound-emission-plan.contract.json				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/workplace-integration/contracts/fixtures/env-tier-outbound-emission-plan/red-fixtures.json				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/workplace-integration/crates/oya-workplace-integration-outbound-metadata-domain/BUCK				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/workplace-integration/crates/oya-workplace-integration-outbound-metadata-domain/Cargo.toml				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/workplace-integration/crates/oya-workplace-integration-outbound-metadata-domain/src/lib.rs				
untracked-path	/Users/jasonlee/Developer/oyatie	oya/workplace-integration/crates/oya-workplace-integration-outbound-metadata-domain/tests/env_tier_outbound_metadata.rs				
untracked-path	/Users/jasonlee/Developer/oyatie	package-lock.json				
untracked-path	/Users/jasonlee/Developer/oyatie	plan/cloud-quality-kits/qk-02-shuffle-shard-isolation-plan-spec-red.md				
untracked-path	/Users/jasonlee/Developer/oyatie	plan/cloud-quality-kits/qk-04-canary-prr-plan-spec-red.md				
untracked-path	/Users/jasonlee/Developer/oyatie	plan/cloud-quality-kits/qk-07-abuse-fraud-ddos-plan-spec-red.md				
untracked-path	/Users/jasonlee/Developer/oyatie	plan/community/community-fd001-red-fixture-contract-plan.md				
untracked-path	/Users/jasonlee/Developer/oyatie	plan/community/community-fd001-service-boundary-plan-spec.md				
untracked-path	/Users/jasonlee/Developer/oyatie	plan/compliance-selective-cell-placement-architecture.md				
untracked-path	/Users/jasonlee/Developer/oyatie	plan/tasks/tasks-workplace-backlog-slices.json				
untracked-path	/Users/jasonlee/Developer/oyatie	plan/tasks/tasks-workplace-source-backed-backlog.md				
untracked-path	/Users/jasonlee/Developer/oyatie	registry/lts-pins.yaml				
untracked-path	/Users/jasonlee/Developer/oyatie	scripts/tests/anonymous_prd_red_fixture_contract_check.py				
untracked-path	/Users/jasonlee/Developer/oyatie	scripts/tests/calendar_prd_red_fixture_contract_check.py				
untracked-path	/Users/jasonlee/Developer/oyatie	scripts/tests/calendar_user_story_red_fixture_check.py				
