old_id	new_id	status
ADR-0063	ADR-0058	kept:docs/decisions/ADR-0063-documentation-suite-coverage.md
ADR-0064	ADR-0059	kept:docs/decisions/ADR-0064-canonical-base-and-localization-packs.md
ADR-0065	ADR-0060	kept:docs/decisions/ADR-0065-docs-as-leptos-webapp-with-machine-readable-coemit.md
ADR-0066	ADR-0061	kept:docs/decisions/ADR-0066-live-code-introspection-docs-portal.md
ADR-0067	ADR-0062	kept:docs/decisions/ADR-0067-ops-oyatie-com-hyperscaler-operations-console.md
ADR-0069	ADR-0063	kept:docs/decisions/ADR-0069-active-machine-readable-artifact-contract.md
ADR-0083	ADR-0064	kept:docs/decisions/ADR-0083-rust-error-handling-tier-decision.md
ADR-0090	ADR-0065	kept:docs/decisions/ADR-0090-hyper-canonical-http-backbone.md
ADR-0091	ADR-0066	kept:docs/decisions/ADR-0091-foundry-write-gate-foundations.md
ADR-0092	ADR-0067	kept:docs/decisions/ADR-0092-workspace-dependency-seam-policy.md
ADR-0093	ADR-0068	kept:docs/decisions/ADR-0093-latency-budget-reporter-rename.md
ADR-0094	ADR-0069	kept:docs/decisions/ADR-0094-handler-trait-with-associated-error.md
ADR-0095	ADR-0070	kept:docs/decisions/ADR-0095-tenant-slug-in-tenancy-kernel.md
ADR-0096	ADR-0071	kept:docs/decisions/ADR-0096-supervisor-language-rust-not-node.md
ADR-0097	ADR-0072	kept:docs/decisions/ADR-0097-foundry-account-adapter-rename-target-slot-last.md
ADR-0098	ADR-0073	kept:docs/decisions/ADR-0098-supervisor-dep-policy-Y-zero-deps-best-effort-durability.md
ADR-0099	ADR-0074	kept:docs/decisions/ADR-0099-cedar-policy-extend-supervisor-capabilities.md
ADR-0100	ADR-0075	kept:docs/decisions/ADR-0100-supervisor-public-contract-lean-a10.md
ADR-0101	ADR-0076	kept:docs/decisions/ADR-0101-supervisor-mountpoint-direct-hyper.md
ADR-0102	ADR-0077	kept:docs/decisions/ADR-0102-foundry-settings-template-canonical-rendering.md
ADR-0103	DELETED	Wave 15-ZH retired/deprecated marker slug=grit-cutover-inventory
ADR-0104	ADR-0078	kept:docs/decisions/ADR-0104-ecosystem-expansion-toolchain-and-adapters.md
ADR-0105	ADR-0079	kept:docs/decisions/ADR-0105-13-layer-enum-and-check-family-patterns.md
ADR-0106	ADR-0080	kept:docs/decisions/ADR-0106-rename-application-to-usecase.md
ADR-0107	DELETED	frontmatter status=Superseded
ADR-0108	ADR-0081	kept:docs/decisions/ADR-0108-sunset-lifecycle-automation.md
ADR-0109	ADR-0082	kept:docs/decisions/ADR-0109-lifecycle-automation-framework.md
ADR-0110	ADR-0083	kept:docs/decisions/ADR-0110-changeset-state-machine.md
ADR-0111	ADR-0084	kept:docs/decisions/ADR-0111-merge-queue-projected-state-fix-at-any-stage.md
ADR-0112	ADR-0085	kept:docs/decisions/ADR-0112-webhook-driven-foundry-agent-invocation.md
ADR-0113	ADR-0086	kept:docs/decisions/ADR-0113-vcs-orchestrator-end-to-end.md
ADR-0114	ADR-0087	kept:docs/decisions/ADR-0114-canary-observability-rollback.md
ADR-0115	ADR-0088	kept:docs/decisions/ADR-0115-registry-consolidation-flat-singular.md
ADR-0116	DELETED	Wave 15-ZH retired/deprecated marker slug=retire-external-agent-coordination-tooling
ADR-0117	ADR-0089	kept:docs/decisions/ADR-0117-repo-hygiene-gitignore-audit-config-and-kyverno-consolidation.md
ADR-0118	DELETED	Wave 15-ZH retired/deprecated marker slug=retire-archive-orphan-fitness-lane
ADR-0119	ADR-0090	kept:docs/decisions/ADR-0119-specs-flat-root-topology.md
ADR-0120	ADR-0091	kept:docs/decisions/ADR-0120-rust-first-onprem-tooling-with-paired-uninstall.md
ADR-0121	ADR-0092	kept:docs/decisions/ADR-0121-onprem-k8s-stack-kubeadm-containerd-istio-envoy.md
ADR-0122	ADR-0093	kept:docs/decisions/ADR-0122-ontology-crate-rename-from-object-graph.md
ADR-0123	ADR-0094	kept:docs/decisions/ADR-0123-hyperscaler-maturity-claim-gate.md
ADR-0124	ADR-0095	kept:docs/decisions/ADR-0124-own-merge-queue-webhook-driven.md
ADR-0128	ADR-0096	kept:docs/decisions/ADR-0128-hyperscaler-architecture-invariants.md
ADR-0129	ADR-0097	kept:docs/decisions/ADR-0129-changeset-plan-dag-and-honest-claims-gate.md
ADR-0130	ADR-0098	kept:docs/decisions/ADR-0130-deprecate-knowledge-graph-registry-file-migrate-to-ontology.md
ADR-0131	ADR-0099	kept:docs/decisions/ADR-0131-per-microservice-flat-layout.md
ADR-0132	ADR-0100	kept:docs/decisions/ADR-0132-product-suite-and-bundle-dissolution.md
ADR-0133	ADR-0101	kept:docs/decisions/ADR-0133-industry-best-practice-conformance-program.md
ADR-0134	ADR-0102	kept:docs/decisions/ADR-0134-portfolio-hyperscaler-pattern-remediation-backlog.md
ADR-0135	ADR-0103	kept:docs/decisions/ADR-0135-aspirational-enforcement-gate.md
ADR-0136	ADR-0104	kept:docs/decisions/ADR-0136-foundry-as-single-microservice.md
ADR-0137	ADR-0105	kept:docs/decisions/ADR-0137-foundry-bounded-contexts.md
ADR-0138	DELETED	Wave 15-ZH retired/deprecated marker slug=foundry-six-path-deprecation
ADR-0139	ADR-0106	kept:docs/decisions/ADR-0139-agentic-slo-gated-promotion.md
ADR-0140	DELETED	frontmatter status=Superseded
ADR-0141	DELETED	frontmatter status=Superseded
ADR-0142	ADR-0107	kept:docs/decisions/ADR-0142-crdt-portability-trait.md
ADR-0143	ADR-0108	kept:docs/decisions/ADR-0143-foundry-per-bc-release-pointer.md
ADR-0144	ADR-0109	kept:docs/decisions/ADR-0144-eu-ai-act-graduated-risk-tier-model.md
ADR-0145	ADR-0110	kept:docs/decisions/ADR-0145-inter-microservice-communication-reform.md
ADR-0146	ADR-0111	kept:docs/decisions/ADR-0146-container-base-image-distroless-nonroot.md
ADR-0147	ADR-0112	kept:docs/decisions/ADR-0147-container-sandboxing-runtime-ladder.md
ADR-0148	ADR-0113	kept:docs/decisions/ADR-0148-service-mesh-cilium-ambient-layered.md
ADR-0149	ADR-0114	kept:docs/decisions/ADR-0149-idempotency-keys-canonical.md
ADR-0150	ADR-0115	kept:docs/decisions/ADR-0150-cursor-pagination-canonical.md
ADR-0151	ADR-0116	kept:docs/decisions/ADR-0151-request-id-propagation.md
ADR-0152	ADR-0117	kept:docs/decisions/ADR-0152-rpo-rto-canonical.md
ADR-0153	ADR-0118	kept:docs/decisions/ADR-0153-outbox-pattern.md
ADR-0154	ADR-0119	kept:docs/decisions/ADR-0154-event-schema-versioning.md
ADR-0155	ADR-0120	kept:docs/decisions/ADR-0155-per-tenant-resource-quotas.md
ADR-0156	ADR-0121	kept:docs/decisions/ADR-0156-pii-registry-canonical.md
ADR-0157	ADR-0122	kept:docs/decisions/ADR-0157-api-gateway-tier.md
ADR-0158	ADR-0123	kept:docs/decisions/ADR-0158-multi-region-active-active.md
ADR-0159	ADR-0124	kept:docs/decisions/ADR-0159-feature-flag-substrate.md
ADR-0160	ADR-0125	kept:docs/decisions/ADR-0160-progressive-delivery-flagger.md
ADR-0161	ADR-0126	kept:docs/decisions/ADR-0161-csi-storage-class-canonical.md
ADR-0162	ADR-0127	kept:docs/decisions/ADR-0162-per-tenant-audit-log-slicing.md
ADR-0163	ADR-0128	kept:docs/decisions/ADR-0163-tenant-environment-tiers.md
ADR-0164	ADR-0129	kept:docs/decisions/ADR-0164-sovereign-cloud-air-gapped.md
ADR-0165	ADR-0130	kept:docs/decisions/ADR-0165-chaos-engineering-substrate.md
ADR-0166	ADR-0131	kept:docs/decisions/ADR-0166-schema-registry.md
ADR-0167	ADR-0132	kept:docs/decisions/ADR-0167-tenant-cli.md
ADR-0168	ADR-0133	kept:docs/decisions/ADR-0168-public-status-page.md
ADR-0169	ADR-0134	kept:docs/decisions/ADR-0169-webhook-dlq-retry.md
ADR-0170	ADR-0135	kept:docs/decisions/ADR-0170-developer-portal.md
ADR-0171	ADR-0136	kept:docs/decisions/ADR-0171-multi-cluster-federation.md
ADR-0172	ADR-0137	kept:docs/decisions/ADR-0172-cqrs-read-replicas.md
ADR-0173	ADR-0138	kept:docs/decisions/ADR-0173-vendor-lock-in-avoidance-and-stack-ownership.md
ADR-0174	ADR-0139	kept:docs/decisions/ADR-0174-finops-cost-attribution-chargeback.md
ADR-0175	ADR-0140	kept:docs/decisions/ADR-0175-tenant-lifecycle-workflow.md
ADR-0176	ADR-0141	kept:docs/decisions/ADR-0176-brownout-degradation-signal-api.md
ADR-0177	ADR-0142	kept:docs/decisions/ADR-0177-internal-external-api-surface-separation.md
ADR-0178	ADR-0143	kept:docs/decisions/ADR-0178-layered-throttling-tiers.md
ADR-0179	ADR-0144	kept:docs/decisions/ADR-0179-postgres-connection-pooling-pgcat.md
ADR-0180	ADR-0145	kept:docs/decisions/ADR-0180-slo-composition-inheritance-arithmetic.md
ADR-0181	ADR-0146	kept:docs/decisions/ADR-0181-container-image-promotion-pipeline.md
ADR-0182	ADR-0147	kept:docs/decisions/ADR-0182-api-gateway-north-south-vs-service-mesh-east-west-separation.md
ADR-0183	ADR-0148	kept:docs/decisions/ADR-0183-policy-engine-separation-cedar-app-authz-kyverno-admission.md
ADR-0184	ADR-0149	kept:docs/decisions/ADR-0184-storage-tier-layering.md
ADR-0185	ADR-0150	kept:docs/decisions/ADR-0185-workflow-studio-client-stack.md
ADR-0186	ADR-0151	kept:docs/decisions/ADR-0186-observability-backplane-layering.md
ADR-0187	ADR-0152	kept:docs/decisions/ADR-0187-canonical-oidc-idp-zitadel-primary.md
ADR-0188	ADR-0153	kept:docs/decisions/ADR-0188-passkey-webauthn-substrate.md
ADR-0189	ADR-0154	kept:docs/decisions/ADR-0189-step-up-authentication-acr-classes.md
ADR-0190	ADR-0155	kept:docs/decisions/ADR-0190-scim-2-provisioning-enterprise-tenants.md
ADR-0191	ADR-0156	kept:docs/decisions/ADR-0191-edge-authz-tier-vs-origin-cedar-pdp.md
ADR-0192	ADR-0157	kept:docs/decisions/ADR-0192-vector-database-canonical-milvus.md
ADR-0193	ADR-0158	kept:docs/decisions/ADR-0193-olap-analytics-warehouse-clickhouse.md
ADR-0194	ADR-0159	kept:docs/decisions/ADR-0194-tenant-facing-timeseries-timescaledb.md
ADR-0195	ADR-0160	kept:docs/decisions/ADR-0195-stream-processing-tier.md
ADR-0196	ADR-0161	kept:docs/decisions/ADR-0196-object-storage-canonical-seaweedfs-primary-ceph-scale-up.md
ADR-0197	ADR-0162	kept:docs/decisions/ADR-0197-backup-substrate-velero-pgbackrest-restic.md
ADR-0198	ADR-0163	kept:docs/decisions/ADR-0198-k8s-node-autoscaling-karpenter.md
ADR-0199	ADR-0164	kept:docs/decisions/ADR-0199-per-tenant-cost-attribution-finops-substrate.md
ADR-0200	ADR-0165	kept:docs/decisions/ADR-0200-wasm-runtime-canonical-wasmtime.md
ADR-0201	ADR-0166	kept:docs/decisions/ADR-0201-email-transactional-comms-adapter-substrate.md
ADR-0202	ADR-0167	kept:docs/decisions/ADR-0202-gitops-iac-cluster-lifecycle-three-tier.md
ADR-0203	ADR-0168	kept:docs/decisions/ADR-0203-documentation-engine-three-tier.md
ADR-0204	ADR-0169	kept:docs/decisions/ADR-0204-workflow-studio-canvas-library.md
ADR-0205	ADR-0170	kept:docs/decisions/ADR-0205-code-editor-canonical-codemirror.md
ADR-0206	ADR-0171	kept:docs/decisions/ADR-0206-i18n-substrate-fluent-icu.md
ADR-0207	ADR-0172	kept:docs/decisions/ADR-0207-accessibility-wcag-2-2-aa.md
ADR-0208	ADR-0173	kept:docs/decisions/ADR-0208-realtime-transport-tier.md
ADR-0209	ADR-0174	kept:docs/decisions/ADR-0209-compliance-evidence-automation.md
ADR-0210	ADR-0175	kept:docs/decisions/ADR-0210-otel-tail-sampling.md
ADR-0211	ADR-0176	kept:docs/decisions/ADR-0211-in-house-tech-stack-policy.md
ADR-0212	ADR-0177	kept:docs/decisions/ADR-0212-buildability-doctrine.md
ADR-0213	ADR-0178	kept:docs/decisions/ADR-0213-ecosystem-as-a-service-architecture.md
ADR-0214	ADR-0179	kept:docs/decisions/ADR-0214-cross-tenant-real-time-visibility.md
ADR-0215	ADR-0180	kept:docs/decisions/ADR-0215-multi-context-platform-architecture.md
ADR-0216	ADR-0181	kept:docs/decisions/ADR-0216-open-integration-and-migration-out-policy.md
ADR-0217	ADR-0182	kept:docs/decisions/ADR-0217-vertical-slice-rollout-order.md
ADR-0218	ADR-0183	kept:docs/decisions/ADR-0218-tenant-granular-control-surface.md
ADR-0219	ADR-0184	kept:docs/decisions/ADR-0219-no-code-first-ux-with-optional-ai-assist.md
ADR-0220	ADR-0185	kept:docs/decisions/ADR-0220-consumer-intelligence-substrate.md
ADR-0221	ADR-0186	kept:docs/decisions/ADR-0221-agentic-development-pipeline-hardening.md
ADR-0222	ADR-0187	kept:docs/decisions/ADR-0222-saga-compensation-portfolio-policy.md
ADR-0223	ADR-0188	kept:docs/decisions/ADR-0223-oya-git-drop-in-surface-with-explicit-policy-verbs.md
ADR-0234	ADR-0189	kept:docs/decisions/ADR-0234-connect-social-expansion-planning-contract.md
ADR-0235	ADR-0190	kept:docs/decisions/ADR-0235-connect-core-public-contracts.md
ADR-0236	ADR-0191	kept:docs/decisions/ADR-0236-op11-corpus-remediation-planning-contract.md
ADR-0237	ADR-0192	kept:docs/decisions/ADR-0237-connect-dissolution-strangler-migration.md
ADR-0238	ADR-0193	kept:docs/decisions/ADR-0238-connect-super-app-expansion.md
ADR-0239	ADR-0194	kept:docs/decisions/ADR-0239-amendment-foundry-internal-scope-clarification-2026-05-18.md
ADR-0240	ADR-0195	kept:docs/decisions/ADR-0240-sovereign-cloud-per-regional-pack.md
ADR-0241	ADR-0196	kept:docs/decisions/ADR-0241-dr-business-continuity-portfolio-policy.md
ADR-0242	ADR-0197	kept:docs/decisions/ADR-0242-oyatie-is-a-tenant-doctrine.md
ADR-0243	ADR-0198	kept:docs/decisions/ADR-0243-cedar-as-universal-gate.md
ADR-0244	ADR-0199	kept:docs/decisions/ADR-0244-tenant-as-universal-scoping-primitive.md
ADR-0245	ADR-0200	kept:docs/decisions/ADR-0245-substrate-vs-product-layering.md
ADR-0246	ADR-0201	kept:docs/decisions/ADR-0246-amendment-library-first-network-opt-in-clarification.md
ADR-0246	ADR-0202	kept:docs/decisions/ADR-0246-policy-engine-substrate-promotion.md
ADR-0247	ADR-0203	kept:docs/decisions/ADR-0247-self-hosting-self-modification-doctrine.md
ADR-0248	ADR-0204	kept:docs/decisions/ADR-0248-amazon-shape-cellular-architecture.md
ADR-0249	ADR-0205	kept:docs/decisions/ADR-0249-multi-category-marketplace-doctrine.md
ADR-0250	ADR-0206	kept:docs/decisions/ADR-0250-build-ahead-of-certification-doctrine.md
ADR-0251	ADR-0207	kept:docs/decisions/ADR-0251-compliance-pack-cell-certification-levels.md
ADR-0252	ADR-0208	kept:docs/decisions/ADR-0252-time-coordination-distributed-consistency.md
ADR-0253	ADR-0209	kept:docs/decisions/ADR-0253-amendment-http3-fallback-strict-tls-ech-pqc.md
ADR-0253	ADR-0210	kept:docs/decisions/ADR-0253-network-topology-edge-service-mesh.md
ADR-0254	ADR-0211	kept:docs/decisions/ADR-0254-deployment-model-spectrum.md
ADR-0255	ADR-0212	kept:docs/decisions/ADR-0255-amendment-library-first-network-opt-in-clarification.md
ADR-0255	ADR-0213	kept:docs/decisions/ADR-0255-intelligence-as-two-layer-ai-substrate.md
ADR-0257	ADR-0214	kept:docs/decisions/ADR-0257-amendment-library-first-ontology-read-path.md
ADR-0257	ADR-0215	kept:docs/decisions/ADR-0257-ontology-object-type-versioning-deprecation-handshake.md
ADR-0258	ADR-0216	kept:docs/decisions/ADR-0258-api-versioning-model.md
ADR-0263	ADR-0217	kept:docs/decisions/ADR-0263-observability-emission-contract.md
ADR-0272	ADR-0218	kept:docs/decisions/ADR-0272-cookie-consent-per-purpose-analytics-opt-in.md
ADR-0273	ADR-0219	kept:docs/decisions/ADR-0273-per-tenant-dkim-spf-dmarc-email-deliverability.md
ADR-0276	ADR-0220	kept:docs/decisions/ADR-0276-backup-portability-format-gdpr-article-20.md
ADR-0280	ADR-0221	kept:docs/decisions/ADR-0280-substrate-of-substrate-dependency-doctrine.md
ADR-0284	ADR-0222	kept:docs/decisions/ADR-0284-platform-owner-name-indirection.md
ADR-0292	ADR-0223	kept:docs/decisions/ADR-0292-minor-user-doctrine-coppa-kosa-eu-age-verification.md
ADR-0293	ADR-0224	kept:docs/decisions/ADR-0293-foundry-meta-trust-root.md
ADR-0294	ADR-0225	kept:docs/decisions/ADR-0294-cedar-fragment-soak-anomaly-rollback.md
ADR-0295	ADR-0226	kept:docs/decisions/ADR-0295-bootstrap-ci-spiffe-kill-switch.md
ADR-0296	ADR-0227	kept:docs/decisions/ADR-0296-library-first-credential-sidecar.md
ADR-0297	ADR-0228	kept:docs/decisions/ADR-0297-abuse-defence-baseline-anti-bot-spoof-scrape.md
ADR-0298	ADR-0229	kept:docs/decisions/ADR-0298-emergency-services-bypass-life-safety.md
ADR-0299	ADR-0230	kept:docs/decisions/ADR-0299-account-recovery-resilience.md
ADR-0300	ADR-0231	kept:docs/decisions/ADR-0300-whistleblower-press-freedom-anonymity.md
ADR-0301	ADR-0232	kept:docs/decisions/ADR-0301-survivor-safety-domestic-abuse-mode.md
ADR-0302	ADR-0233	kept:docs/decisions/ADR-0302-deceased-user-inheritance-doctrine.md
ADR-0303	ADR-0234	kept:docs/decisions/ADR-0303-cognitive-impairment-decision-resilience.md
ADR-0304	ADR-0235	kept:docs/decisions/ADR-0304-cross-jurisdiction-conflict-resolution.md
ADR-0305	ADR-0236	kept:docs/decisions/ADR-0305-delegated-agent-authority-chain.md
ADR-0306	ADR-0237	kept:docs/decisions/ADR-0306-disaster-mode-cell-resilience.md
ADR-0307	ADR-0238	kept:docs/decisions/ADR-0307-detection-substrate-streaming-batch.md
ADR-0308	ADR-0239	kept:docs/decisions/ADR-0308-ml-model-lifecycle-ai-act-compliance.md
ADR-0309	ADR-0240	kept:docs/decisions/ADR-0309-detection-fairness-audit-civil-rights.md
ADR-0310	ADR-0241	kept:docs/decisions/ADR-0310-investigation-case-management.md
ADR-0311	ADR-0242	kept:docs/decisions/ADR-0311-dual-tenant-identity-personal-vs-work-boundary.md
ADR-0312	ADR-0243	kept:docs/decisions/ADR-0312-court-warrant-scoped-piercing.md
ADR-0313	ADR-0244	kept:docs/decisions/ADR-0313-conglomerate-tenant-hierarchy-sovereign-children.md
ADR-0314	ADR-0245	kept:docs/decisions/ADR-0314-marketplace-as-universal-deal-settlement.md
ADR-0315	ADR-0246	kept:docs/decisions/ADR-0315-erp-coverage-doctrine-sap-parity.md
ADR-0316	DELETED	Wave 15-ZH retired/deprecated marker slug=capability-tier-over-product-fragmentation
ADR-0317	ADR-0247	kept:docs/decisions/ADR-0317-role-based-projection-unified-ux-shell.md
ADR-0318	ADR-0248	kept:docs/decisions/ADR-0318-collar-color-workspace-universality.md
ADR-0319	ADR-0249	kept:docs/decisions/ADR-0319-front-middle-back-office-information-barrier.md
ADR-0320	ADR-0250	kept:docs/decisions/ADR-0320-apprentice-intern-resident-fellow-transient-identity.md
ADR-0321	ADR-0251	kept:docs/decisions/ADR-0321-b2b-saas-industry-leader-coverage.md
ADR-0322	ADR-0252	kept:docs/decisions/ADR-0322-substance-bar-as-doctrine-and-ci-enforcement.md
ADR-0323	ADR-0253	kept:docs/decisions/ADR-0323-multi-wave-sequencing-doctrine.md
ADR-0324	ADR-0254	kept:docs/decisions/ADR-0324-anti-script-anti-template-doctrine.md
ADR-0325	DELETED	Wave 15-ZH retired/deprecated marker slug=capability-tier-pricing-anchors-public
ADR-0326	ADR-0255	kept:docs/decisions/ADR-0326-per-tenant-data-residency-attestation.md
ADR-0327	ADR-0256	kept:docs/decisions/ADR-0327-wave-3-completion-criteria-and-promotion-gates.md
ADR-0328	ADR-0257	kept:docs/decisions/ADR-0328-substance-bar-as-canonical-sequence-and-batch-discipline.md
ADR-0329	DELETED	Wave 15-ZH retired/deprecated marker slug=tier-system-retired-replaced-by-tenant-class
ADR-0330	ADR-0258	kept:docs/decisions/ADR-0330-tenant-class-demo-trial-vs-paid-composable-billing-components.md
ADR-0331	ADR-0259	kept:docs/decisions/ADR-0331-cross-microservice-tenant-class-adoption-template.md
ADR-0332	ADR-0260	kept:docs/decisions/ADR-0332-healthcare-domain-decomposition.md
ADR-0333	DELETED	Wave 15-ZH retired/deprecated marker slug=cell-microservice-retired-pattern-not-service
ADR-0334	DELETED	Wave 15-ZH retired/deprecated marker slug=shorts-microservice-merged-into-social
ADR-0335	DELETED	Wave 15-ZH retired/deprecated marker slug=foundry-microservice-retired-absorbed-by-intelligence
ADR-0336	ADR-0261	kept:docs/decisions/ADR-0336-valkey-not-redis-substrate.md
ADR-0337	ADR-0262	kept:docs/decisions/ADR-0337-iceberg-canonical-olap-write-path.md
ADR-0338	ADR-0263	kept:docs/decisions/ADR-0338-pod-runtime-tier-0-to-3.md
ADR-0339	ADR-0264	kept:docs/decisions/ADR-0339-shared-iac-module-library.md
ADR-0340	ADR-0265	kept:docs/decisions/ADR-0340-capacity-model-per-microservice-manifest.md
ADR-0341	ADR-0266	kept:docs/decisions/ADR-0341-cellular-promotion-gates-explicit-tier-criteria.md
ADR-0342	ADR-0267	kept:docs/decisions/ADR-0342-api-versioning-hybrid-date-public-semver-sdk.md
ADR-0343	ADR-0268	kept:docs/decisions/ADR-0343-dr-rto-rpo-matrix-per-microservice-per-compliance-pack.md
ADR-0344	ADR-0269	kept:docs/decisions/ADR-0344-sustainability-finops-dimensional-model.md
ADR-0345	ADR-0270	kept:docs/decisions/ADR-0345-oss-stewardship-class-policy-and-cve-response-sla.md
ADR-0346	ADR-0271	kept:docs/decisions/ADR-0346-oya-verify-must-run-full-ci-mirror.md
ADR-0347	ADR-0272	kept:docs/decisions/ADR-0347-foundry-fitness-to-governance-bulk-rename.md
ADR-0348	ADR-0273	kept:docs/decisions/ADR-0348-autosharding-auto-rebalance-dynamic-sharding.md
